"index","Att00","Att01","Att02","Att03","Att04","Att05","Att06","Att07","Att08","Att09","Att10","Att11","Att12","Att13","Att14","Att15","Att16","Att17","Att18","Att19","Att20","Att21","Att22","Att23","Att24","Att25","Att26","Att27","Att28","Att29","class"
"0","26.813667111611","UGRY","14.1613908970209","2038.45210319513","207172","-16.2779584306538","45790","-21.0530676762399","-439.332557009271","1003.54318243591","-16.4579367414765","GLRW","YOYS","-2.00860460061845","156.498498095464","-189.865507398051","153.316419559225","0","141.389246529657","-0.796627156892866","108.918392151137","-2167.01865494279","-85.8259241123137","","225.761522710487","11.7448818768016","0","-8310","61.243675014294","-305.73321714097","0.0"
"1","22.8755733515168","UGRY","1.96101440664972","454.118359974819","63863","875.461735224065","-88872","8.31963236280129","-2501.92296586092","-190.613264877757","-21.4303179055956","GLRW","EWIT","-10.5157384780141","366.91897872168","-13.3093965026213","21.2306622787202","1","144.325587080619","42.8442298873735","50.1195743905343","-815.335682912198","-6.01631791824027","-28.3440637531096","-216.847209118909","-1.55584533674473","0","-3197","245.096942921476","-21.4316158143476","2.0"
"2","-20.840101567897","VMNM","8.07544255557584","520.971403981877","228009","894.35309933797","-48591","-33.1996064590054","1247.90693026301","498.199041947418","26.4358409351943","GLRW","EWIT","-18.0686599720915","921.591346582589","85.7010518839944","87.4277073474148","0","148.329687831931","43.7687545289617","527.722445473016","-1005.97745718113","38.7399063481326","","-215.839203826226","-5.55429517520899","0","-388","212.091369560479","138.001149676583","1.0"
"3","-3.56745154588642","OPHU","-3.68629928533369","1598.05272786807","-35235","-521.8886719521","24493","-5.7261033576144","1717.56740979919","437.409591740157","-8.39967845363813","XXUL","EWIT","-17.7807886988292","-446.90486594109","188.42808250288","-39.9092301004123","1","225.653322340597","-25.5407145019411","21.025772671151","-976.263057496794","85.1761572238425","8.51447601707805","-177.2883200005","-3.95889484016298","1","-51795","216.736598403879","303.418586413032","2.0"
"4","-8.38754698438023","OPHU","-3.46830924430364","1962.4387043594","356997","-531.815002055248","84401","1.89634173869728","5620.03765102297","536.552496075983","19.802275947564","GLRW","NYFD","-28.2016759044157","562.780101793919","-150.589838173619","-37.5491898449508","0","94.5857577476558","-26.0264992618751","22.0037155860882","-408.129585194889","-68.0719326026844","","-356.795683107942","-3.212005463657","0","-23200","322.232190294768","-242.489098333355","1.0"
"5","-28.205492568046","OPHU","-7.0249070099331","1466.24412137848","-343298","-1082.50434784716","-11563","-24.3749799845704","-6829.06295972377","-1561.65911399766","78.6902778303544","XXUL","GECO","12.3117410674817","-537.732230444975","-39.981582082341","-76.0542236515777","0","368.021349053908","-52.9766902049407","226.760513401076","-242.462268258211","-18.0730890866619","49.3512462162906","-288.877864927562","-1.21489747759248","1","-11339","352.670663505465","-64.3808234783426","2.0"
"6","-3.32884594622453","UGRY","0.33388999695211","-3378.06970047899","209666","-768.440466459822","-43155","35.0820764328865","5592.27186856603","-129.686815330465","42.774736206945","GLRW","YOYS","-18.3753740371426","33.5902473300561","-271.063414690145","3.61481575020339","0","118.877302305614","-37.6067150340258","519.409930696049","-3813.61716643504","-122.530249847055","","-115.828927346419","4.86279978207492","0","-20691","4.0340145218996","-436.483124071043","0.0"
"7","17.3296906412306","OPHU","3.81644036257255","-2120.83565680192","-383978","-1370.47919589858","113054","-1.73103019082153","4137.48424004442","542.894136713224","34.8819548939189","XXUL","EWIT","4.67902581825054","-1784.95333556558","125.586997922907","41.3181852055243","1","473.818588905237","-67.0698939342145","30.3162303630549","-1017.10540055233","56.7697645609083","-5.49017298773259","379.706047410478","1.35709315240667","0","11834","210.257726595979","202.227974065609","2.0"
"8","-46.3685519118566","EEVW","-0.808368883940243","4120.39783705832","-306302","-250.9305740404","65545","-26.2170711375925","8647.20718269635","-502.287708994965","2.83992705901318","GLRW","GECO","3.98479754073619","267.940624394409","-291.494870201289","-8.75169846451149","0","446.9466238631","-12.2802936637841","149.991994578501","-2313.36123916244","-131.765990315318","18.8008712618745","-225.65718203311","-7.4602303818733","1","2495","49.8750886343951","-469.383121073651","2.0"
"9","-45.5053552883993","VMNM","6.38014116481946","175.79929470898","-109099","-211.448485157801","87276","3.30150339645625","-1368.95427338955","-16.3366779600868","-6.84845479165963","XXUL","GECO","-26.7204185492849","770.69893685013","212.497998871998","69.0737517794471","0","39.3291673795521","-10.3480793539412","524.421888135103","-240.038306444797","96.0566106774264","","460.382766489779","-2.67223809510994","1","19642","353.281877826965","342.177458778492","2.0"
